source_row,name,model,serial_number,qr_code,checked_out_to,quantity
2,Metabo HPT Air Compressor,EC36DA,82100348,755762,,1
3,Metabo HPT Air Compressor,EC36DA,82100733,755764,,1
4,DeWalt Chop Saw,D28715,206976,755765,,1
5,DeWalt Chop Saw,D28715,DJXL2B3,755766,,1
6,DeWalt 9ah Battery,N689104,L122HJT,755767,,1
7,DeWalt Air Compressor,DCC020I,506420,755269,,1
8,DeWalt cordless vibrator,,,755273,,1
9,DeWalt Sawzall,,20182241,755271,,1
10,DeWalt drill,DCD780,DJ8QCQG,755270,,1
11,Metabo cordless air compressor,EC36DA,82100345,755272,,1
12,DeWalt grinder,DCG418,W0X-D7IE,755751,,1
13,DeWalt half-inch impact,DCF894,,276893,,1
14,DeWalt cordless impact wrench,DCF890,,755268,,1
15,Milwaukee corded grinder,6088-30,B43CD183300299,755763,,1
16,DeWalt cordless grease gun,DCGG571,DF9C5ZC,755754,,1
17,Metabo cordless framing nailer,NR3690DR,QN300036,755755,,1
18,Metabo cordless rebar bender,VB3616DA,D90045,755756,,1
19,DeWalt power supply,DCA120,202112-47,755758,,1
20,Bosch corded grinder,1375A,128040169,755752,,1
21,Metabo HPT battery charger,UC18YSL3,2334D,755757,,1
22,Metabo HPT battery charger,UC18YKSL,2328C,755760,,1
23,DeWalt miter saw,DHS790,025191,755759,,1
24,DeWalt work light,DCL079,W0N4RID,1210601,,1
25,DeWalt rotary hammer,DCH133,W0ZCJ32,755278,,1
26,DeWalt band saw,DCS377,035549,755279,,1
27,DeWalt four-port charger,DCB104,2024-43-J4,755276,,1
28,DeWalt miter saw,DHS790,CJ41968,755275,,1
29,Metabo table saw,C3610DRJ,820136,755274,,1
30,DeWalt 9Ah battery,N689104,L0XY0HG,755252,,1
31,DeWalt 9Ah battery,N689104,B09WRLX,755281,,1
32,DeWalt 9Ah battery,N689104,L0XY7AZ,,,1
33,DeWalt 9Ah battery,N689104,L0F5CVP,755254,,1
34,DeWalt circular saw,DCS578,DK7ZHB2,755277,,1
35,DeWalt Drill,DCF887,,256192,,1
36,DeWalt Battery,DCB205,,252157,,1
37,DeWalt Battery,DCB205,,252155,,1
38,DeWalt Battery,DCB205,,252154,,1
39,Metabo Battery,36V 4.0Ah,,401287,,1
40,Metabo Battery,36V 4.0Ah,,401289,,1
41,Metabo Rebar Bender,VB3616DA,,401277,,1
42,Metabo Adapter,ET36A,,401252,,1
43,DeWalt 4-Port Charger,DCB104,,,,1
44,Metabo Rebar Cutter,SC3618DA,,401283,,1
45,DeWalt Rotary Hammer,DH36DMA,,401251,,1
46,Metabo Grinder,Unknown,,401247,,1
47,Metabo Charger,UC18YSL3,,401255,,1
48,Bosch Laser Level,GLL3-330CG,,403290,,1
49,DeWalt Miter Saw,DWS780,,401243,,1
50,DeWalt Blower,DCBL772,,401245,,1
51,Rebar Shears,HBC25B,,403353,,1
52,Metabo Table Saw,C3610DRJQ4,,403335,,1
53,DeWalt 9ah Battery,N689104,L0M5FLO,276801,,1
54,DeWalt 9ah Battery,N689104,2024 36-49,755753,,1
55,DeWalt 6ah Battery,N444190,2016 43-47,755750,,1
56,Stabila Laser Level,D76855,IEC 60IEC 825-1,755266,,1
57,DeWalt Drill,DCD797,2018 06-4,276802,,1
58,Hammer Drill,DCH172,0Z2S71,276900,,1
59,Circular Saw,DCS578,202240-L1,276896,,1
60,Sawzall,DCS367,202207-41,276895,,1
61,DeWalt Grinder,DCG418,W134NBL,276898,,1
62,Chalk Line,,,,,1
63,DeWalt Level,,,,,1
64,Husqvarna Quickie Saw,K770,5466279-1,276892,,1
65,Metabo Table Saw,C3610DRJ,620016,276891,,1
66,DeWalt Jigsaw,DCS334,620017,755256,,1
67,DeWalt 4-Port Charger,DCB104,620018,755260,,1
68,Metabo Charger,UC18YSL3,C350485Q,755259,,1
69,DeWalt 6 Amp Charger,DCB1106,2022-19-QX,755258,,1
70,Metabo Charger,UC18YSL3,2135C,755264,,1
71,DeWalt Blower,DCBL770,155226,276897,,1
72,Metabo Battery,BSL36B18,U2114F,755265,,1
73,DeWalt 2-Port Charger,DCB132,2021102PQ,755263,,1
74,Metabo Battery,BSL36B18,U2312C,755261,,1
75,Metabo Battery,BSL36B18,U2234C,755262,,1
76,DeWalt Bandsaw,DCS377 TY1,64297,755257,,1
77,DeWalt Hammer Drill,DCH733,S001986,755267,,1
78,"6', 8', 20' Ladders",,,,,1
